intern,DatasetID,Warning Message,Error Message,has_visualization,No papers linked - hard to find other data,"Multiple Papers linked, none match NEMAR",HED anotation,Participants,Age range,Dataset size,Number of files,Number of sessions, Scans/session,Type of subjects,Format,Modality,additional modality,EEG Modality,MEG Modality,iEEG modality,Has MRI,Has EOG,Has Behavioral,Has fMRi,Has EcOg,Has DBS,Has SMI,Has EMG,Has TMS,Has ECG,Has SEEG,Has VEOG,Has fNIRS,Has Blood Tests,Eye tracking,Other (put in name),EEG channels,10-20,MEG channels,ECG channels,Ecog channels,EMG channels,EOG channels,MEG REF channels,SEEG channel,Trigger,Misc Channels,Type of data,Modality of experiment,FOR FIGURE - modality of exp,Type of experiment,FOR FIGURE - type of exp,Tasks,Paper of Interest,BIDS version,First author state,Author country,Authors from multiple institutions,Authors from multiple institutions in different state/country,Published date,Uploaded by,Date last update,Dataset DOI,References and links,License,On Brainlife.org,Funding,Ethics Approvals,IRB
Liz,ds001787,n/a,,TRUE,,,No,24,29-78,5.7 GB,141,3,1,Meditators,.bdf,EEG,n/a,X,,,,,,,,,,,,,,,,,,,64,10-20,,,,,,,,,15,continuous,Audio,Auditory,mind wandering,Attention,meditation,,1.1.1,Toulouse,France,N,N,2019-03-09 0:48:05,Arnaud Delorme,,doi:10.18112/openneuro.ds001787.v1.1.1,https://www.ncbi.nlm.nih.gov/pubmed/27815577,CC0,TRUE,,"The study received ethical approval from both the ethics committee of the Meditation Research Institute in India, and from the Comite de Protection des Personnes in France. ",Yes
Bay,ds001849,n/a,,TRUE,,,No,20,,0.048 TB,363,1,0,Healthy," .fdt, .set",EEG,"MRI, EMG, TMS, ",X,,,X,,,,,,,X,X,,,,,,,,30,10-20,,,,,,,,,0,continuous,TMS pulses,Stimulation,sham vs. active TMS,Clinical/Intervention,tmseegrest,,2.7.0,Maryland,United States,Y,N,2019-08-22 14:07:44,Jack Reeves,,10.18112/openneuro.ds001849.v1.0.2,,CC0,TRUE,,"Twenty healthy individuals (11 F; mean age 24.3 ± 3.1 years) provided informed consent to participate in the study, which was approved by the NIH Combined Central Nervous System Institutional Review Board. All experiments were performed in accordance with the Declaration of Helsinki.",Yes
Bay,ds001971,n/a,,TRUE,,,No,20,,0.034 TB,1917,1,19,Healthy,".fdt, .set",EEG,"EMG, behavioral (phase correction and period correction)",X,,,,,X,,,,,X,,,,,,,,,108,10-20,,,,4,,,,,7,continuous,Motor & Auditory ,Auditory,Gait adaptation with audiocues,Motor,AudioCueWalkingStudy,,v1.2.0,Graz,Australia,Y,Y,2019-06-07 19:41:04,Johanna Wagner,,10.18112/openneuro.ds001971.v1.1.1,http://www.jneurosci.org/content/36/7/2212.short,Creative commons,TRUE,"Future Labs Reloaded 2013 of the Faculty of Computer Science at the Graz University of Technology, Austria, OeAD (Austrian Agency for International Mobility). ===NEMAR-SEP=== Marietta Blau Grant to J.W., the BMWF (Austrian Federal Ministry of Science and Research). ===NEMAR-SEP=== Gift to University of California San Diego by the Swartz Foundation (Old Field, NY).",The experimental procedures were approved by the human use committee of the Medical University Graz. Each subject gave informed consent before the experiment.,Yes
Bay,ds003633,n/a,,FALSE,,,No,11,19 - 25,73.5 GB,2298,1,9,Healthy,".acq, .bak, .cfg, .cls, .de, .eeg, .hc, .hist, .infods, .meg4, .mrk, .newds, .res4, .segments, .ds","MEG, MRI",N/A,,X,,X,,,,,,,,,,,,,,,,,other,272,,,,,29,,,108,continuous,"Visual, Audio ",Multisensory,Visual & Auditory perception (watching a movie) ,Perception,"movie, noise",,1.4.0,Beijing,China,N,N,2021-05-16 7:35:57,Xingyu Liu,,doi:10.18112/openneuro.ds003633.v1.0.4,,CC0,TRUE,National Key R&D Program of China (Grant No. 2019YFA0709503) ===NEMAR-SEP=== National Natural Science Foundation of China (Grant No. 31771251),"Institutional Review Board of the Faculty of Psychology, Beijing Normal University",Yes
Bay,ds002034,n/a,,TRUE,,,No,14,21 - 27 ,0.011 TB,882,3,4,Healthy,.edf,EEG,"optical eye tracker, behav (validity effect)",X,,,,,X,,,,,,,,,,,,X,,64,10-20,,,,,,,,1,16,continuous,Visual,Visual,covert visuospatial attention (CVSA),Attention,"task-offline, task-offlinecatch, task-offlinecatch, task-onlinereal",,1.1.1,Geneva,Switzerland,N,N,2019-08-24 11:03:34,Michael Pereira,,doi:10.18112/openneuro.ds002034.v1.0.3,"Schneider, C., Pereira, M., Tonin, L. et al. Brain Topogr (2019). https://doi.org/10.1007/s10548-019-00725-9",CC0,TRUE,No external funding sources,"The study was covered by the ethical protocol No PB_2017-00295 of the ethics commissions of the cantons of Vaud and Geneva, Switzerland and complied with the standards of the Declaration of Helsinki.",Yes
Bay,ds002094,n/a,,TRUE,,,No,20,,0.042 TB,282,1,0,,".eeg, .vhdr, .vmrk","channels, eeg, events","TMS, EMG",X,,,,,,,,,,X,X,,,,,,,,30,10-20,,,,,,,,,,continuous,No TMS pulses ,Resting State,Resting state task,Neuroimaging,"rest, tmseeg1, tmseeg2",,1.3.0,Texas,United States,N/A,N/A,2019-08-02 15:03:21,Sara Hussain,,,,CC0,TRUE,,,
Viraaj,ds002218,n/a,,TRUE,,,No,18,,0.002 TB,133,1,0,Healthy,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,32,10-20,,,,,,,,,,continuous,"Visual, Audio",Multisensory,Rhythm Perception,Perception,Experiment,,1.1.1,California,United States,Y,N,2019-10-03 5:24:27,Daniel C Comstock,,mockDOI,,CC0,TRUE,,"This study was approved by the UC Merced Institutional Review Board for research ethics and human subjects, and all participants gave informed consent prior to testing.",Yes
Viraaj,ds002336,n/a,,FALSE,,,No,10,19-39,0.018 TB,325,1,19,Healthy,".eeg, .vhdr, .vmrk","EEG, MRI",n/a,X,,,X,,,,,,,,,,,,,,,,63,other,,1,,,,,,,,continuous,Visual  ,Visual,Motor,Motor,"fmriNF, eegfmriNF, eegNF, MIpost, motorloc, MIpre",https://www.biorxiv.org/content/10.1101/862375v1,1.2.0,Rennes,France,Y,N,2019-12-04 14:48:34,Claire Cury,,10.18112/openneuro.ds002336.v2.0.2,"Perronnet, Lorraine, L Anatole, Marsel Mano, Elise Bannier, Maureen Clerc, Christian Barillot, Lorraine Perronnet, et al. 2017. “Unimodal Versus Bimodal EEG-FMRI Neurofeedback of a Motor Imagery Task.” Frontiers in Human Neuroscience 11 (193). https://doi.org/10.3389/fnhum.2017.00193. ===NEMAR-SEP=== Giulia Lioi, Claire Cury, Lorraine Perronnet, Marsel Mano, Elise Bannier, Anatole Lecuyer, Christian Barillot. Simultaneous MRI-EEG during a motor imagery neurofeedback task: an open access brain imaging dataset for multi-modal data integration. bioRxiv 862375; doi: https://doi.org/10.1101/862375",CC0,TRUE,This work was supported by the French Natinal Research Agency under the reference ANR-10-LABX-07-01,All experiments were performed according to the Helsinki declaration and under approval by the Institutional Review Board.,Yes
Viraaj,ds002338,ds002338,,FALSE,,,No,17,18-66,0.026 TB,484,1,19,Healthy,".eeg, .vhdr, .vmrk","EEG, MRI",n/a,X,,,X,,,,,,,,,,,,,,,,63,other,,1,,,,,,,,continuous,Visual  ,Visual,motor imagery run without NF,Motor,"MIpre, 1dNF, 1dNF_run-01, 2dNF, 2dNF_run-02, MIpost",https://www.biorxiv.org/content/10.1101/862375v1.full.pdf,1.2.0,Rennes,France,Y,N,2019-12-04 14:40:17,Claire Cury,,doi:10.18112/openneuro.ds002338.v2.0.2,"Perronnet, Lorraine, L Anatole, Marsel Mano, Maureen Clerc, Fabien Lotte, and Christian Barillot. 2018. “Learning 2-in-1 : Towards Integrated EEG-FMRI-Neurofeedback.” BioRxiv, no. 397729. https://doi.org/10.1101/397729.",CC0,TRUE,This work was supported by the French Natinal Research Agency under the reference ANR-10-LABX-07-01,All experiments were performed according to the Helsinki declaration and under approval by the Institutional Review Board.,Yes
Viraaj,ds002550,n/a,,FALSE,,,No,22,,167.5 GB,10745,3,8,Healthy,".acq, .bak, .cfg, .cls, .eeg, .hc, .hist, .infods, .meg4, .mrk, .newds, .res4, .segments, .ds","MEG, MRI",behavioral,,X,,X,,X,,,,,,,,,,,,,,,other,272,,,,,28,,1,6,continuous,Visual,Visual,Working Memory,Memory,"WorkingMemory, LocalizerControl",,1.1.1,Maryland,United States,Y,N,2020-02-18 20:21:07,romain quentin,,10.18112/openneuro.ds002550.v1.0.1,,CC0,FALSE,NINDS/HCPS ===NEMAR-SEP=== FYSSEN foundation ===NEMAR-SEP=== Bettencourt Schueller Foundation,Thirty-five healthy volunteers participated in the study after providing informed consent. ,No (but informed consent provided)
Peter,ds002578,n/a,,FALSE,,,Yes,2,19-53,0.001 TB,22,1,0,Healthy,.set,"EEG, MRI",n/a,X,,,X,,,,,,,,,,,,,,,,256,10-20,,,,,,,,,,continuous,"Visual, Motor",Visual,attention ,Attention,attention,,v1.2.1,California,United States,N,N,2020-02-21 19:41:52,Arnaud Delorme,,10.18112/openneuro.ds002578.v1.1.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6673364/,CC0,TRUE,,,No
Peter,ds002680,n/a,,TRUE,,,Yes,14,22-46,0.01 TB,4977,2,12,Healthy,.set,EEG,n/a,X,,,,,,,,,,,,,,,,,,,,10-20,,,,,,,,,31,continuous,Visual,Visual,Motor/Attentional,Motor,gonogo,,v1.2.1,Toulouse,France,Y,Y,2020-04-09 0:54:52,Arnaud Delorme,,10.18112/openneuro.ds002680.v1.2.0,"https://www.ncbi.nlm.nih.gov/pubmed/11244543, https://www.ncbi.nlm.nih.gov/pubmed/15019707, https://papers.cnl.salk.edu/PDFs/From\%20Single-Trial\%20EEG\%20to\%20Brain\%20Area\%20Dynamics\%202002-3661.pdf",CC0,TRUE,,This work was supported by the CNRS and fellowships from the French government. Experimental procedures with human subjects were authorized by the local ethical committee (CCPPRB No. 9614003).,Yes
Peter,ds002691,n/a,,TRUE,,,Yes,20,23-65,0.001 TB,146,1,0,Healthy,.set,EEG,n/a,X,,,,,,,,,,,,,,,,,,,32,other,,,,,,,,,,continuous,Visual,Visual,Attentional,Attention,internalattention,,v1.2.1,California,United States,Y,N,2020-04-09 0:50:39,Arnaud Delorme,,10.18112/openneuro.ds002691.v1.1.0,"Radin, D., Michel, L., Pierce, A., Delorme, A. (2015) Psychophysical interactions with a single-photon double-slit optical system. Quantum Biosystems, Vol 6, Issue 1, Page 82-98. https://www.semanticscholar.org/paper/Psychophysical-interactions-with-a-single-photon-Radin-Michel/8095890b463b7d373054b9da40a04356cc63bcf2",CC0,TRUE,,The authors of this article have not conducted any research on humans or animals.,n/a
Peter,ds002718,n/a,,TRUE,,,No,18,23-31,0.005 TB,582,1,0,Healthy,.set,"EEG, MRI",,X,,,X,,,,,,,,,,,,,,,,70,other,,,,,2,,,,4,continuous,Visual,Visual,Perception,Perception,FaceRecognition,,v1.2.0,Cambridge,England,N,N,2020-04-21 23:09:57,Dung Truong,,10.18112/openneuro.ds002718.v1.0.5,"Wakeman, D., Henson, R. A multi-subject, multi-modal human neuroimaging dataset. Sci Data 2, 150001 (2015). https://doi.org/10.1038/sdata.2015.1",CC0,TRUE,This work was supported by the UK Medical Research Council (MC\_A060\_5PR10) and Elekta Ltd.,The study was approved by Cambridge University Psychological Ethics Committee. ,Yes
Kayla,ds004660,n/a,,TRUE,,,Yes,21,19-30,7.2 GB,299,1,2,healthy,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,32,10-20,,,,,,,,,6,continuous,"visual, audio",Multisensory,"fixation, auditory math task",Attention,P300,,1.8.0,Virginia,USA,y,y,2023-08-05 16:56:32,Kevin King,,doi:10.18112/openneuro.ds004660.v1.0.2,,CC0,FALSE,,All procedures performed in studies involving human participants were in accordance with the ethical standards of the Institutional Review Board of the United States Army Research Laboratory and with the 1964 Helsinki Declaration and its later amendments or comparable ethical standards.,Yes
Kayla,ds002778,n/a,,TRUE,,,No,31,47-82,0.001 TB,328,3,0,"Parkinson's patients, Healthy patients",.bdf,EEG,,X,,,,,,,,,,,,,,,,,,,40,10-20,,,,,,,,1,,continuous,Functional connectivity scans,Resting State,Resting state,Neuroimaging,rest,,1.2.2,Zhejiang,China,y,n,2020-05-06 5:35:53,Alexander Rockhill,,doi:10.18112/openneuro.ds002778.v1.0.5,,CC0,TRUE,,"Participants were right-handed and provided written consent in accordance to the Institutional Review Board of the University of California, San Diego and the Declaration of Helsinki.",Yes
Liz,ds002799,n/a,,FALSE,,,No,26,13-59,0.02 TB,1103,2,232,medically refractory epilepsy,.nii,"MRI, iEEG",,,,X,X,,,,,,,,,,,,,,,,,other,,,2,,,,,,,continuous,electrical stimulation,Stimulation,BOLD-fMRI activity,Neuroimaging,"es, rest",,1.0.0,Gothenberg,Sweden,Y,Y,2020-05-18 16:49:05,Remya Nair,,10.18112/openneuro.ds002799.v1.0.4,https://rdcu.be/b57kz,CC0,TRUE,"Funded by NIH grant U01NS103780 (RP, RA and MH) ===NEMAR-SEP=== The Simons Foundation Collaboration on the Global Brain (RA) ===NEMAR-SEP=== Knut and Alice Wallenberg Foundation grant 2016.0473 (WHT) ===NEMAR-SEP=== UK Wellcome Trust (CIP) and European Research Council (CIP) ===NEMAR-SEP=== The OpenNeuro repository is funded by NIH Grant R24MH117179 (RP)",26 subjects all gave informed written consent under a research protocol approved by the Universityof Iowa Institutional Review Board (IRB). Stanford University and Caltech had reliance agreements with theUniversity of Iowa IRB. ,Yes
Liz,ds002814,n/a,,TRUE,,,No,21,19-32,0.03 TB,1139,2,8,healthy,".fdt, .set","MRI, EEG",n/a,X,,,X,,,,,,,,,,,,,,,,68,10-20,,,,,3,,,1,,continuous,visual,Visual,object recognition,Perception,"task-categorySelectivity, categorySelectivity, TODO: full task name for categorySelectivity",,1.0.1,Tehran,Iran,N,N,2020-11-22 9:06:42,morteza mahdiani,,doi:10.18112/openneuro.ds002814.v1.3.0,TODO ===NEMAR-SEP=== List of papers or websites,CC0,TRUE,TODO ===NEMAR-SEP=== GRANT #1 ===NEMAR-SEP=== GRANT #2,,
Liz,ds002893,n/a,,TRUE,,,Yes,49,20-78,7.7 GB,370,1,2,healthy,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,33,10-20,,,,,2,,,,1,continuous,"Audio, Visual",Multisensory,Focus,Attention,AuditoryVisualShift,,1.7.0,California,United States,N,N,2020-06-29 23:47:19,Dung Truong,,doi:10.18112/openneuro.ds002893.v2.0.0,"Ceponiene R., Westerfield M., Torki M., and Townsend J.(2008). Modality-specificity of sensory aging in vision and audition: Evidence from event-related potentials, Brain Research, vol. 1215, 53-68. DOI: 10.1016/j.brainres.2008.02.010.",CC0,TRUE,National Institutes of Health National Institute on Aging (R01-AG18030).,"The study was approved by the Institutional Review Board of the University of California, San Diego, and informed consents were obtained from all participants prior to the study.",Yes
Liz,ds003004,n/a,,FALSE,,,No,34,,0.039 TB,277,1,0,"not highly trained in meditation, stated they felt capable of inducing a realistic emotional state through a verbally guided narrative and their own imagination",".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,224,10-20,,,,,,,,,,continuous,Audio,Auditory,imagined emotion,Affect,ImaginedEmotion,,1.1.1,California,United States,n,n,2020-07-10 0:05:52,Dung Truong,,doi:10.18112/openneuro.ds003004.v1.1.1,"Onton J.A. and Makeig S. (2009). High-frequency broadband modulations of electroencephalographic spectra. Front. Hum. Neurosci. 3,:61. DOI: https://doi.org/10.3389/neuro.09.061.2009 ===NEMAR-SEP=== Onton J.A. and Makeig S. (2009). Independent modulators of regional EEG alpha sub-band power during a working memory task. Poster session presented to Cognitive Neuroscience Society; San Francisco, CA. https://sccn.ucsd.edu/~julie/AlphaIMposter.pdf ===NEMAR-SEP=== Kothe C.A., Makeig S., and Onton J.A. (2013). Emotion Recognition from EEG during Self-Paced Emotional Imagery. 2013 Humaine Association Conference on Affective Computing and Intelligent Interaction. IEEE. 855-858, DOI: https://doi.org/10.1109/ACII.2013.160 ===NEMAR-SEP=== Hsu S.H., Lin Y., Onton J.A., Jung T.P., and Makeig S. (2022). Unsupervised learning of brain state dynamics during emotion imagination using high-density EEG. NeuroImage. 249:118873. DOI: https://doi.org/10.1016/j.neuroimage.2022.118873",CC0,TRUE,,"Thirty-two young adult volunteers participated under informed consent in accordance with UCSD institutional review board requirements (13 male, 19 female; age range: 18–38 years; age mean and standard deviation: 25.5 ± 5 years).",Yes
Liz,ds003029,n/a,,FALSE,,,No,35,13-59,0.011 TB,679,1,6,epilepsy,".eeg, .vhdr, .vmrk",iEEG,n/a,,,X,,,,,,,,,,,,,,,,,,10-20,,,126,,,,,,9,continuous,surgical resection or laser ablation of the SOZ,Surgery,neural fragility,Clinical/Intervention,ictal,,1.4.0,Maryland,United States,Y,Y,2020-12-02 21:03:31,Adam Li,,doi:10.18112/openneuro.ds003029.v1.0.6,,CC0,FALSE,NIH T32 EB003383 ===NEMAR-SEP=== NSF GRFP (DGE-1746891) ===NEMAR-SEP=== ARCS Scholarship ===NEMAR-SEP=== Whitaker Fellowship ===NEMAR-SEP=== Chateaubriand Fellowship ===NEMAR-SEP=== NIH R21 NS103113 ===NEMAR-SEP=== Coulter Foundation ===NEMAR-SEP=== Maryland Innovation Initiative ===NEMAR-SEP=== US NSF Career Award 1055560 ===NEMAR-SEP=== Burroughs Well CASI Award 1007274,"IRBs at JHH, UMMC, UMF, NIH",Yes
